Data;Hora;Consumo
01/01/2019;00:00;27399,64
01/01/2019;01:00;26012,17
01/01/2019;02:00;24548,73
01/01/2019;03:00;23446,89
01/01/2019;04:00;22850,35
01/01/2019;05:00;22714,09
01/01/2019;06:00;23106,73
01/01/2019;07:00;23575,76
01/01/2019;08:00;23897,07
01/01/2019;09:00;25485,7
01/01/2019;10:00;27194,25
01/01/2019;11:00;28958,57
01/01/2019;12:00;29948,32
01/01/2019;13:00;30560,54
01/01/2019;14:00;30794,72
01/01/2019;15:00;31123,37
01/01/2019;16:00;31683,29
01/01/2019;17:00;33068,35
01/01/2019;18:00;33987,84
01/01/2019;19:00;33342,78
01/01/2019;20:00;32653,93
01/01/2019;21:00;31829,99
01/01/2019;22:00;30860,5
01/01/2019;23:00;29371,57
02/01/2019;00:00;27796,14
02/01/2019;01:00;26337,73
02/01/2019;02:00;25388,25
02/01/2019;03:00;24731,51
02/01/2019;04:00;24626,98
02/01/2019;05:00;24948,36
02/01/2019;06:00;26519,3
02/01/2019;07:00;29694,31
02/01/2019;08:00;35024,02
02/01/2019;09:00;38658,78
02/01/2019;10:00;40176,58
02/01/2019;11:00;40817,76
02/01/2019;12:00;39871,1
02/01/2019;13:00;40510,54
02/01/2019;14:00;40688,2
02/01/2019;15:00;40502,62
02/01/2019;16:00;40627,56
02/01/2019;17:00;40344,62
02/01/2019;18:00;39979,97
02/01/2019;19:00;38515,33
02/01/2019;20:00;37482,24
02/01/2019;21:00;36313,67
02/01/2019;22:00;35329,21
02/01/2019;23:00;33562,28
03/01/2019;00:00;31341,38
03/01/2019;01:00;29518,17
03/01/2019;02:00;28221,73
03/01/2019;03:00;27562,69
03/01/2019;04:00;27324,58
03/01/2019;05:00;27643,82
03/01/2019;06:00;29203,77
03/01/2019;07:00;31594,51
03/01/2019;08:00;36265,92
03/01/2019;09:00;38912,98
03/01/2019;10:00;39475,93
03/01/2019;11:00;39891,03
03/01/2019;12:00;38707,46
03/01/2019;13:00;39250,92
03/01/2019;14:00;39806,08
03/01/2019;15:00;39907,39
03/01/2019;16:00;40288,45
03/01/2019;17:00;40598,74
03/01/2019;18:00;40034,79
03/01/2019;19:00;38911,46
03/01/2019;20:00;37576,69
03/01/2019;21:00;36604,9
03/01/2019;22:00;35446,6
03/01/2019;23:00;33812,85
04/01/2019;00:00;31477,14
04/01/2019;01:00;29527,21
04/01/2019;02:00;28202,32
04/01/2019;03:00;27579,83
04/01/2019;04:00;27324,16
